Year_Month,Mean_NDVI_Score,Mean_MI_Score,Mean_SAVI_Score,Mean_NDBI_Score,Mean_EVI_Score,Mean_NDWI_Score,Crop_Health_Status
2023_July,0.2665962294163593,0.2002394966658498,0.2873828859457392,0.4122602389841958,-0.2321502814591867,0.2936144227983516,Bad
2023_Aug,0.2204744687790515,0.2788720373864598,0.2466114767342942,0.4548787320599171,-0.2120755246789893,0.33573528899611,Bad
2023_Sep,0.2789157503070781,0.216315056214155,0.345958024456414,0.4381742506866297,0.0669516808532964,0.3762364852414644,Good
2023_Oct,0.3117275153491318,0.1322583871431276,0.4312900377547103,0.4602416743728434,0.404587739862091,0.4749088232946193,Good
2023_Nov,0.2706470973625592,0.1314440212024847,0.3660456918426063,0.3752865175352883,0.3154813540256903,0.4568440083816682,Good
2023_Dec,0.2520391559419961,0.1483688967618284,0.3571772884443331,0.3327236398051332,0.3751210979652168,0.4697484410716135,Good
2024_Jan,0.2485925135596848,0.1583154720166028,0.3595808557376138,0.3409335977932093,0.4167387812307607,0.4793988532287888,Good
2024_Feb,0.2214492488717043,0.2226442647404954,0.319544455626831,0.2668254064675778,0.3699932701906845,0.4801009901776349,Good
2024_Mar,0.1713851673802615,0.2925271618215399,0.2446336814239064,0.2043580557254112,0.2930233561308126,0.4777681843383879,Good
2024_April,0.1392193805517252,0.3628454560069807,0.1948868999058195,0.170084951870298,0.2575648776180627,0.4764124820836597,Good
2024_May,0.1347112962034461,0.3725840170038068,0.1886520491199495,0.1612732590061736,0.266945309481797,0.4770911181096501,Good
2024_June,0.2196282842706785,0.2709815730692825,0.2446754554670178,0.3152098838894497,-0.0923610739223369,0.2943449765716978,Bad
2024_July,0.1762213200798861,0.2063899314677943,0.1983629556736368,0.4438814558371434,-0.1822684484928836,0.3456314780133132,Bad
2024_Aug,0.116821469985556,0.3501597778046235,0.1487902223874569,0.4387182663063179,-0.2241528738610708,0.4676724678310018,Bad
2024_Sep,0.2171957041549557,0.3917489246056051,0.2319468562727116,0.465142369512066,-0.2400783155917729,0.2887417472111563,Bad
2024_Oct,0.3130315789113555,0.1300043973098569,0.4117330167852896,0.3955413566446262,0.3125651514524806,0.4543127435493143,Good
2024_Nov,0.2767800455964652,0.1363356886919345,0.3716140834102211,0.4059576441271278,0.1861084488059299,0.4375261336990313,Good
2024_Dec,0.1625524875274774,0.129262283184898,0.2150883922933273,0.4383808289640807,-0.0353286475082597,0.4326109113297647,Bad
